DATE,CBBTCUSD,SP500,VIXCLS
03/08/2018,7414.08,2740.37,19.34
04/08/2018,7005,2723.06,19.51
05/08/2018,7030.01,2738.31,19.96
06/08/2018,6938,2755.45,19.91
07/08/2018,6718.22,2813.89,16.36
08/08/2018,6282.5,2806.83,16.72
09/08/2018,6546.45,2781.01,17.36
10/08/2018,6146.01,2726.22,20.45
11/08/2018,6235.56,2722.18,20.02
12/08/2018,6316.01,2701.58,21.25
13/08/2018,6253.67,2730.2,19.98
14/08/2018,6195.01,2736.27,18.14
15/08/2018,6269.01,2690.73,20.1
16/08/2018,6315.9,2641.89,22.48
17/08/2018,6585.49,2649.93,20.8
18/08/2018,6396.64,.,.
19/08/2018,6489.53,2632.56,21.52
20/08/2018,6258.74,2673.45,18.9
21/08/2018,6475.89,2682.17,19.02
22/08/2018,6359.99,2743.79,18.49
23/08/2018,6526.36,2737.76,18.79
24/08/2018,6690.88,2760.17,18.07
25/08/2018,6737.52,2790.37,16.44
26/08/2018,6709.98,2700.06,20.74
27/08/2018,6911.9,.,.
28/08/2018,7071.01,2695.95,21.19
29/08/2018,7030.9,2633.08,23.23
30/08/2018,6983,2637.72,22.64
31/08/2018,7015.01,2636.78,21.76
01/09/2018,7191.08,2651.07,21.46
02/09/2018,7295,2650.54,20.65
03/09/2018,7256.98,2599.95,21.63
04/09/2018,7360,2545.94,24.52
05/09/2018,6687.96,2546.16,25.58
06/09/2018,6495,2506.96,25.58
07/09/2018,6395.01,2467.42,28.38
08/09/2018,6188,2416.62,30.11
09/09/2018,6235.01,2351.1,36.07
10/09/2018,6300,.,.
11/09/2018,6282.53,2467.7,30.41
12/09/2018,6326,2488.83,29.96
13/09/2018,6485.99,2485.74,28.34
14/09/2018,6478.04,2506.85,25.42
15/09/2018,6518.68,.,.
16/09/2018,6498,2510.03,23.22
17/09/2018,6250.7,2447.89,25.45
18/09/2018,6335.7,2531.94,21.38
19/09/2018,6386.94,2549.69,21.4
