Date,open,high,low,close,volume 
08/01/2013,160.4600067,160.9900055,160.0099945,160.5599976,7694800
09/01/2013,160.7700043,160.8300018,159.8999939,160.4900055,8334200
10/01/2013,161.6100006,162.5599976,161.6100006,161.9799957,11432600
11/01/2013,161.8600006,161.8999939,160.1100006,161.0599976,13675600
14/01/2013,161.8800049,161.9700012,161.1300049,161.5399933,7289000
15/01/2013,162.8000031,163.1699982,162.3500061,162.5599976,10077800
16/01/2013,162.4199982,163.0299988,162.1499939,162.6499939,9214700
17/01/2013,161.9400024,164.3999939,161.8300018,163.3500061,14911400
18/01/2013,163.9499969,163.9700012,163.0200043,163.0899963,10038100
22/01/2013,163.4799957,164.2200012,163.3699951,163.6699982,8587900
23/01/2013,163.9199982,163.9499969,163,163.2100067,6697000
24/01/2013,161.9799957,162.2700043,161.1799927,161.4199982,13188300
25/01/2013,160.5599976,161.0399933,160.3099976,160.6499939,9037400
28/01/2013,160.2400055,160.7299957,160.0200043,160.2899933,8491600
29/01/2013,161.0099945,161.3099976,160.6900024,160.9900055,7364900
30/01/2013,162.6799927,163.0399933,162.0299988,162.1900024,12010000
31/01/2013,161.6199951,161.8099976,160.4700012,161.1999969,9334000
01/02/2013,162.6600037,162.7700043,160.8699951,161.4499969,12904300
04/02/2013,161.1900024,162.4199982,161.1499939,162,7354900
05/02/2013,162.75,162.7899933,161.3300018,161.9600067,8979400
06/02/2013,162.1300049,162.6300049,161.9900055,162.3899994,6138700
07/02/2013,161.2400055,162.9600067,161.1300049,161.8399963,12827200
08/02/2013,161.4600067,162.0200043,161.1999969,161.5700073,6085900
11/02/2013,159.7799988,159.9799957,159.25,159.6999969,12083500
12/02/2013,159.3500061,160.0500031,158.8800049,159.8899994,7632300
13/02/2013,159.6000061,159.6399994,158.7700043,159.0500031,8961300
14/02/2013,159.3099976,159.6499939,158.0399933,158.3500061,12410200
15/02/2013,156.4199982,156.5800018,154.5599976,155.7599945,23374100
19/02/2013,155.8000031,155.8399963,154.9299927,155.3300018,11803900
20/02/2013,153.8999939,153.9299927,150.8399963,151.4400024,30924000
21/02/2013,152,153.4100037,151.8999939,152.6199951,17964800
22/02/2013,152.2599945,152.9900055,151.9299927,152.9700012,10093200
25/02/2013,153.5200043,154.5599976,153.3099976,154.3399963,9488200
26/02/2013,154.3899994,156.8000031,153.3200073,156.2200012,18182300
27/02/2013,155.4600067,155.6000061,154.0800018,154.5700073,9596100
28/02/2013,154.0899963,154.1600037,152.3899994,153,14864400
01/03/2013,153.1600037,153.6100006,152.1399994,152.4400024,11178800
04/03/2013,152.4499969,152.7400055,151.8699951,152.3000031,6643800
05/03/2013,153.1000061,153.3899994,152.1100006,152.3800049,10804200
06/03/2013,152.1699982,153.3800049,151.6499939,153.2299957,10856000
07/03/2013,153.0200043,153.2100067,152.3999939,152.6900024,6586700
08/03/2013,151.6100006,153.2899933,151.3999939,152.7100067,11859500
11/03/2013,152.8200073,153.0599976,152.6499939,152.9900055,4810700
12/03/2013,154.0700073,154.6900024,153.8999939,154.1900024,7265700
13/03/2013,154.2599945,154.6000061,153.4199982,153.6600037,7436400
14/03/2013,153.0200043,154.1699982,153.0099945,153.6799927,11410400
15/03/2013,154.1199951,154.7200012,153.9700012,154,5701300
18/03/2013,155.6999969,155.9299927,155,155.3800049,9302400
19/03/2013,155.2200012,156.3399963,155.1000061,156.0800018,11023400
20/03/2013,155.5299988,155.8300018,154.8800049,155.3699951,8221500
21/03/2013,156.1699982,156.4299927,155.8800049,156.25,4992000
22/03/2013,155.4499969,155.9900055,155.4199982,155.5500031,4746300
25/03/2013,154.7100067,155.5700073,154.3600006,155.2400055,6819100
26/03/2013,154.4700012,154.9100037,154.2799988,154.7200012,7388700
27/03/2013,154.6699982,155.6199951,154.5099945,155.3600006,6717000
28/03/2013,154.5,154.8000031,154.2200012,154.4499969,6851200
01/04/2013,154.5700073,154.9299927,154.3000031,154.6699982,4288100
02/04/2013,153.0899963,153.3099976,152.2599945,152.4299927,9398300
03/04/2013,152.0200043,152.5299988,149.9199982,150.7299957,15740800
04/04/2013,149.6499939,150.6000061,149.4400024,150.2899933,12429000
05/04/2013,151.5399933,152.9600067,151.0700073,152.8099976,14491800
08/04/2013,152.3899994,152.5899963,151.6000061,152.1600037,6246000
09/04/2013,152.3200073,153.8500061,152.2799988,153.3399963,7042200
10/04/2013,152.6699982,152.7100067,150.5800018,150.75,18507400
11/04/2013,150.7599945,151.7100067,150.6300049,151.0500031,8063200
12/04/2013,148.6499939,148.8500061,143.4299927,143.9499969,55601800
15/04/2013,136,136.75,130.5099945,131.3099976,93804200
16/04/2013,134.8999939,135.1100006,131.7599945,132.8000031,45650800
17/04/2013,133.8099976,134.9499969,132.3200073,132.8699951,25444100
18/04/2013,134.1199951,135.3099976,133.6199951,134.3000031,20040500
19/04/2013,136,136.0200043,134.6000061,135.4700012,15659300
22/04/2013,138.1499939,138.2700043,137.2200012,137.8999939,16568500
23/04/2013,137.2200012,137.2400055,135.8500061,136.8800049,14644900
24/04/2013,138.0899963,138.5500031,137.4499969,138.3699951,10369300
25/04/2013,140,142.0800018,139.7899933,141.6300049,18886900
26/04/2013,142.3000031,143.4299927,140.0399933,140.9100037,19307800
29/04/2013,142.1300049,142.6600037,141.4900055,142.3000031,11004500
30/04/2013,142.2700043,142.8300018,141.5500031,142.7700043,11284400
01/05/2013,140.5899963,141.5500031,139.3000031,141.1100006,13931100
02/05/2013,142,142.4700012,141.6399994,141.9199982,11502200
03/05/2013,141.6999969,142.7100067,141.3999939,142.0899963,11667100
06/05/2013,142.3300018,142.4600067,141.6300049,142.1499939,7730300
07/05/2013,140.3800049,140.6399994,139.3699951,140.3800049,13627400
08/05/2013,141.7799988,142.8099976,141.4900055,142.4600067,11161100
09/05/2013,141.3300018,142.3600006,140.5099945,140.8099976,8263000
10/05/2013,138.2200012,139.75,137.2599945,139.6000061,14650600
13/05/2013,138.4600067,138.9700012,138.1600037,138.4299927,6714100
14/05/2013,137.9499969,139.1600037,137.6399994,137.8099976,9895700
15/05/2013,136.5899963,136.9799957,134.2299957,134.6300049,19062400
16/05/2013,133.1799927,134.4799957,133,134.0899963,12759200
17/05/2013,133.1699982,133.4799957,131.0200043,131.0700073,20346500
20/05/2013,130.8800049,135.3200073,130.8500061,135.1199951,21594000
21/05/2013,132.1699982,133.6499939,131.4499969,132.8800049,14542500
22/05/2013,134.1799927,136.7700043,130.9499969,131.9400024,25975200
23/05/2013,134.5099945,134.8399963,133.1199951,134.6100006,10267600
24/05/2013,134.1100006,134.5099945,133.6399994,133.7599945,5522600
